Entier,val1,val2
2154,ONwlkm6lETDjc0i,FD7x1JdUsXhoElC
14710,6rYRxoDJuNwNhPl,BD5zf5kY8OIn6J7
13316,KRJqf1x2vjfsQM7,c3PX5hyi8mPwvVr
8473,yMTh9SHS7gyOgkr,HeUcsosmfknyQJh
13079,NdJCY1Qjnz3IZtk,74ZKRI0xUjzVj3X
15679,ibrIF6AlEZ9YAEn,Yoz3mVSqSh0lxOd
1613,EpyTQ6sIiA2Ktw6,eEHI0yJs7n5meM8
7033,DsJCP6k7fUGcTeL,1d7HidVZKWuUfiE
18034,VOTcTsM0DpAxwRx,jOCrRj7tRoOU6xV
12162,eObRuOGwTk99zSH,4l2DWfUyjTDpoZ0
11696,L9nNHTGpfzDUTQ5,5uSPUvDVe26zzQl
9952,pLkatd9DlYkQ80T,zyzpI5nw7k44v4v
15322,NviPINkxiJXOGhJ,GhAsXgh8YQH3ElU
17314,IFW9a2MJ5llkwPz,bEdgDGLAyb6emDt
1248,kTowcjY7AuPZcqR,BMaB4eXCGGI6YGX
16286,kQiKVZB8XsKylV9,Ou0eHhqYFUuWbpX
5485,W2eOkZsGujHotMF,yyBde9GfZfTm7eM
17566,awgU48UwbnFuRdC,upnm8cmUY946s2m
10831,CxB7RuLCcmuTEfu,U1mo4xXtIGNDTme
7904,xD5O8zRbEO3937S,nIZ4v2cv5QmT7Dh
17364,W4cOoU7qrLjl9ls,eTCmt7uXP1exaAD
10220,iddYVs8H7VDEcYE,krWXIklCLXwujBG
5207,EyFmeLXAAEUrBTc,uPWFSepVleO1eAY
10512,HArp0r5O5pH6SPU,kuaqDt1dVE6YIGc
16891,8Qs19EpsR5xOSGn,EEtFbdzfUfjERqA
13115,4TMaDojmfhFO5uo,J2bKnITf2ELO0M6
19912,oHpsc5uPxqe8GuH,GMmTezrbgoG0H1c
4992,21yTPCK77e7MMLH,YS7CZjOjIkTS6BF
4691,rN7f1UXJRIsqw4c,CT0HNOtveW2w9bZ
10529,n4a54SvrmazLQPB,ob4euLk7sqLwSWU
3786,qQBmjZ3EpR2DqUv,w3oEO7zMpb2csKS
1718,tUSBvktQlYAGeE9,LnRX5A0w6AGGaoB
7666,CvAT5TZU7OQZlU9,oX4VpCx72GkA6Ga
17551,tK6a2PnZfh9D5Sy,XsYk08OSfVCLnq3
428,LWStQl5KgrVl7Y3,1idSjE3sVXYMmfw
2934,pzNprNeeGXCmU0n,n9jHf1LyBoqbjRi
3979,e65uLYyifaoERf8,4RPbquH4ytoF9Ka
18033,CHC9P9oLO4iv8HD,gZTiQDOcIAHDreU
1518,Pc707H27ICtCxOX,fB4Fi2b09JpUFdP
2723,ZxWvrzcu74NumX9,raDgRII0dwdT9gf
15750,xeJz9RPBDbfcuuA,O8BlWA0iOst1JPw
5392,u1PwB6CF6iFSetC,LhrE9W5w2GEr6Fe
320,r23CyKXRYKruZAV,tWHyAPERSERyrxs
16442,TODnO1eRoCeUati,0mloYydAy4S7Yp4
14288,xKiSvxE3wnkLQcT,ZTdkmpfowVRsXmx
8870,gNGGGWWWXyMoIBA,RnBfp1zb4X0ootk
15346,CnjA5fSXrsXCDjt,7dgdPKKGYnQwYUD
228,2dByOcshphiZLIF,Nt3gwrLUYy8VAfo
1092,2EmO1CjfGQ7hhR3,5UQwVWinRolZosy
17315,BZCe8wz36VHJgdI,O4Ozbpib7bNHUIw
19813,9rc66wYWZnOzfbH,8L7cNivzZvOQp8W
6965,FAPBx60a68NqN2W,W3DP0UnbvPNomk7
540,TG7xrAAhuumwbzZ,FKymKfQxf5SP16y
8346,ZqiDT2ymH2NFmWM,M99kMoeFEGTM80P
16529,1qNl5l7a6cBvGgQ,2ZiGIo7eldmFJTJ
11034,JY5rsjDFllG17PG,WTX5o1gEJDjfYbP
10140,yMuKQB9tFlVjNzC,TU0ezWjCT48HO5g
14092,NvrboV8gPDaoSzI,o8HdFSoWSSoIL3D
19990,7RUtEUtsLGsaxXv,4GBOWCJrtqznMVN
6545,AF9vnmFiUCVCTSX,WrCaWkMImb1ppDx
10225,AeIZfKYME39beVk,O3jH7m11SLkwzEG
14164,Pk1ebdTQCWeNZiz,xKNqoYgehe9jlOH
19460,2X8ijqlXbaysXme,SE49k8XbxHTsYki
3260,dAtvD2CxapeLJ7j,xF11dJfCCNhVJkd
10277,TGPlVSmNf2iZHdP,D11RFjfN8MDK9Pz
427,6DaJcQG2oTaroWn,oiWgNiUz9p0mbYH
17840,cXACcfWesTAOMT8,e1ZNLyswp2uy0YW
8672,8SEcamGvhkQQxRz,apk8rCVN9ZL4KNM
536,6iisVfFC5NWwV4T,GqcUlecJaH2ixW4
17183,USRWA0w5z2CIiTs,nI5R8pgWkMgIhTQ
8366,YLnUzcucTHzMaUX,pMXJIJQ1p0xJanW
6812,AECmPeEmJvuj1dY,TFVk9CJxTtyhMeI
7547,px8OSv5K30jRmjd,cUSFzNqG8Fa1lwL
2312,rZmT37pcti5p22K,S3sQI9eKSUOARld
13596,XYspuK8aCOE2UsK,9iPrYBrl07p9P4o
13574,z5nXxaMLnom2gug,tzAR9Qrg2F5ln7m
7363,AETIMtuXt8lxS21,af5YKDK3aTriBoD
14556,7WAfp3vfNhjsjum,JJFz5gmzXIicJTF
4057,HrLcBFt1So5Wnbi,2UUBg6eXSSL3ZCZ
11358,T4kY0u6loDEA2WD,7dIdY8Qhwde0thr
