Entier,val1,val2
60,0IcWOj2Uu5iGKyC,cSl7sKfo0SENgRw
118,0eOuLjLnYtwFGIJ,XAn5Ky4TqeAaWt6
168,0DnP8h5Srn3cwRd,oRHfzqMTsiPKIVP
99,BIYMref7mFHxIhP,s4NDHZhH1FufHmc
163,TjGj7nqcwmlC9a6,zxjRA4EbehMAFYA
163,HOfFwNCP5B9mkFb,Fh3oMD7LyBB9tK6
120,GgnhF8SLTMpTHhZ,adsZU8cfnkCX6Mg
165,LcPLOO7gvGfMLIM,ukblj9C95hKGGPe
101,jm3M2YxXkIE0Lf4,7I6mTLt3rSMAwe4
124,tNzbvVdOgD1DXXQ,oNtPpVwROJ6MExJ
134,QWFVCZALNJNy89i,cV7F4jllzbuNnbg
66,7wb0EPEtPo9KlED,ffikKggPjib4RnD
171,jVl52JdaiOHXZA0,TUmWOs5KpoQrGI8
137,kKYME0gEFidl6uB,RxHjCfCrupDCJR4
115,00g31MTDVa1WkbN,q3SjN3XjcqnxnRz
95,mtXP6liH6ya7NfF,d0DEBNkg67hzw1U
4,Ri0BYWsu8rWQ4ez,0VRTY9JQ4dvOyYi
162,Vzt0D62aViA9SGC,AfKcsmq4FuORgUZ
107,TOEbeYmh18WNHDI,ofFEm3esEbdmthm
108,ymmz5yvMisP0Vic,ln6OiaK9pt0io2X
80,VQnmYBPzORPjDcY,NyGowfqxtpRW1s3
138,Rxngrk0SiSzLT59,5A5LhxbQIV7KWWo
85,3DxtRiBivc7eN2B,nOixNwvJrevayY5
83,ild3Z7cNI0NLAad,AHnw9xOO47RUHgz
43,yJu5jki5IPxEbTF,MjcauEkm81T6KoX
33,ZXhrscJkFwJ6U1W,LqBnjW7pJ58Vo2T
36,qtEwDdMLQCadcd1,OJBZmnb73DcXibv
94,qMUbqvn3YAnYZdF,l23WE2o0iixkLAZ
14,INycbEOxnDEpwOq,6OSFzOvWQONeral
200,qsls9XeXFirTxwL,gL1SHFxeWE1PTpk
78,pzv5Rg3ULQM5RbD,8akrMil8NGXxDWG
192,kQhczQrVwiFoGHF,HsKY1HdWoOZpFad
194,hGsgJsFI5Dfk32k,JCU3KXLOtT6NEwy
164,nvDofQYvr6zurcs,b9gmLYjPTP8EXi9
116,ii9m42E9lOEXNWg,HYbArecVQqV2h9f
82,40GoIkvo0GEOMyt,E4v3FOvISsqJot2
113,NofE4jhBOF5ZeQI,EIK3FL9zn2GELKV
39,8UxYlG7HC2XiPBk,9WfwomRm1h8mJmJ
125,DhizDq7Eju1EpuO,zud3zHGea8yllsj
69,gSYe1Rm5KSEUXj7,OKknMOJHYeQG9av
47,1bUBcp9QZDaye3A,9VjyoHMxi9KBTgn
149,Yni7trYwDuGiAfD,uDHw9ifsqqaRuU9
138,DKGy0EWbEcQbLl3,szH1uPJAyThzBTz
40,qKuqOGkC7vaxObp,aoKuDWIT8NUIEKo
156,Uh9p1uXPQ7tL6Mc,D9qDVj6Fg8sAr2p
152,cLmLEBJ1uqOEZLX,SBrPeNj8a4paPFQ
22,PWaEpoRpyChuZIY,A194l6XVSWKQubv
122,iSjHNLiqqOnTIu1,Pmh5vdtRVTpCBBc
169,BF2ZPVzIiMvx9vU,kcxddgIvN4LWkbV
58,7jrM6aMm2Xce5iB,u1PPZrtjHowcc9F
175,DeIy105sS5ZRRXO,pc7Twj19Zb4xWud
16,eNZYRxCXuJslgnj,fWT79DNY02HIaZ5
2,55Ay3yMR1It6lNc,PjckdTGkzby6dSD
184,z0WwXyixYxoriEL,MaavedER4nbI79T
185,ZqAKPRGH5gRUiD7,MrEupWP4qH9EvMY
78,jlXRUgd1tbkIEeY,nyNQ2RZVFJUAZ4Y
111,avjtWTKYISel77o,1hxXZqTHjay0LDg
146,Tvu0aIZMrJyY6Lv,rHrqOQuiltKpe4a
61,iZXPtTSq1AUuB0M,2uQMwYqMn39KzDK
120,F4TsA7zG9KhJh3S,zzNiwEi4qn7BIFB
73,KQjpIbamlPSHaX8,gjPWcWHICoW6SYr
99,4N124Ncl8pfGhAA,TQoUtdsaKwvgNMV
