Entier,val1,val2
87,sWvR5VQhLpIR2gB,5p6OFpqSFQP84ka
47,8j9iDxFtWdhGb1S,Sh2cJfK3rSrKGY0
197,uQz11vKhC87c1X2,8oIpkAhYaCucbmb
199,mSPIZPyXuBBqxsz,StXqlgKlx0xCC75
112,jhPl1N3zHmMwe65,tVfIJicov4Z06fl
23,ZnGNB22Opj0exmW,F4flKO5bdw5Lp5p
69,X4GLrc0OYPmQyu7,47bk6nISK9OVgej
79,OWLZapKgPo2nXUG,DBbtQxDNQIFZKQN
62,Ag4C5q2vHyvLXOM,6hfHgoDqHtCBAdG
56,GAkpN779gYekg7X,337flGYW9VJhmYa
86,f8CNKGHfnTf95Tu,oya4wdxYPQG6kUV
121,CPWf8MtNzYAaIDS,RVTfvLQABcSygfq
90,zVPbFJ6FtR7Wwed,ielA7mNTgzpginN
56,jyNf3dBWFXCRhdC,r13Wq7eHx2Y86yF
127,7DrT4vNjaUgYmVC,Rj4Y0hUnqBW2VoE
28,IIE7X3PTOTCwpPb,SXwo6nMqdFqTO4I
185,pjhROl52hSKbuJl,oMIDd73KgcYqPeZ
79,2a6z9101AHBq5iz,y7LQhVJw0vd6OwJ
33,FICU0OePpLTwR1t,Ar9DvVnmhx2wKTM
99,IbwkaHL6ciDMr8g,t1mZZMrk3t1lK4t
129,luqTAjEWz1ahzyu,tpq6hxlwK1D8Dt3
171,dM5KjgNfOjBKwMG,Sh1UcaG9qm8387v
7,4vHiSbvSQ0HkbpD,DoAIkYsoynVJheO
30,jQTiqgeWdO2E639,XeVePRZR3PxSy9K
21,Sr9oDPJhaUKbNfV,IxU50SdUC26bVXC
64,ep75ue16AlKGyNB,lj1OUVkQ28IaQ0U
130,Cx0scjC0YwvRp5Y,oMTFf0fMxnem6RZ
101,2wS060lLjyIxClT,eTbkl6bJCtK73CQ
64,IzULX3MTkBlJcMk,rRZEEBZMhUGdTyF
74,gQuM2jQVe1plaom,WVgaWIA7W9QaIDw
37,0rlZqaAvq3hWi1N,xOMxyWk5lgpmyus
93,7hdogiSh6D5tsRf,iOkVqdYFDWK45lh
136,DvhmHYhGwdMIsfu,AtdvPJs35yVSsEJ
124,2GUop8JKE4rLZDi,0N1K2PD8mAX9mL8
162,iKD6WCeD6VV3IJy,PXungskRJETaxFT
78,lWvZ4t7uSEKRrss,mHbBOL4UX3RmkH8
32,0Inic5KShuo5V2X,D1DfhzW39j9ojrI
173,AbhcWVQijT06aGa,meDakpxNcLU0Hbt
200,febKTxNUo0mSfE6,YkZ5M3hGp8pYlJz
126,CBdo9eZMziypZGL,sXjmiNzLiYMMhth
87,wuB1Eps40729ShJ,L00bc6hcAzwtaLy
190,UcvXmra8eHbfn5k,oeZv2qtP4pMM9C5
165,n3tLMnhtYBlbFh6,tdEVd2YDEQPNY5s
159,EqYdkMlPk8c0kOV,ytQ4LqwpZMLZAyD
38,zeypt9Bth4sfS7b,z3Lh7plnhPyZg5c
59,ai4jrXETaInYkC8,cubAguc5mUDOUhd
73,r2JwUm5wxhNkKKl,ZXaXqJOr5t4jvA6
21,o0mV9euPuGfPI48,FLzX36uZnQHdrZz
128,OYCvkDDeygPftOF,qtNECAAD6hgBpZL
24,nYCFnNBFpsHGpMC,3Uwy5T9fwtLwYj7
128,gZoDrCAtK8MejA0,m1sdVDj5wj6zg5g
85,gMkStiT5yy4BH9o,CzrWBo0brZAKiTT
175,EERGC0sZtdS6FwQ,cQDgFu6tbv7AfPg
148,AAF59CDn70hfgDS,I88CTKoKfkFMRV1
107,NxpfkjhuT5oJ2NY,9YXzVoEgGdph4Ul
0,JDOn9fHXMvw1Ytz,l8LeELWzvREtD4I
185,PYyGoyK6EV3ddWM,K6je9QgQjV7jpHC
85,tIBubg0FYXGU8Db,aWgGjNHKjefxYbP
179,Jgnal0pJ0UXEGqo,u7599vqDcZQhGHa
144,RH2sYV7RC9OYp6P,IK6aDhnJZHB7PI6
21,OlkL2m4xbMgbk1Y,PvzjRjrG5YdUWUO
176,5lADRmvR9I71HDg,UCFhJyctWRxqW5X
82,Qh6WDJ0xPK7nxOi,stkUFb9aaVLvWnv
107,jHioxczyNgNVd9g,hTAVCoOdohkizY4
18,8qF6aS25CIMZnUE,MRRu6qyu47L3wyv
92,YgMn4TGarWrwrLo,DKvLbQZtBc0NesK
136,skZZ7cGH6wFWLSN,DboOOvLzI8lT1ZO
55,BSrhjeY6oOoInN2,dE12mFaaIICraYC
172,ixCbpdI6yVbUPlh,4opbCw39Rdk4n5e
72,oMKKECkQXnpZ0cR,TZmHY8AuvuWMGCP
196,Gkcl2rzr8GdHpop,CEcF99l1C8Qry0J
31,r75k8pdXIyg7MpR,OATC2dblHit6aaV
50,uwpDXTKLegJTglS,5IOSsXsegTeUKcq
0,hnMkrbQMkKo5Cuc,5Os9BCgEFv5eKzZ
192,bMpBZeqOFdlZMqL,GtTLpW2W3N9gsyH
194,1NJ5VoEUYhblWvy,Ch4Ksa8SJeVPvGA
133,xIucnLf1MnSbU4N,X7pPULe26IWfHEs
51,fxQswLdc7uSqhyL,rjPoFdmOaVHOlQ9
66,BE2XosmyRnCfJVi,uv6dEzEJBcuYOl5
140,FZK37QKz8ST53kq,5aUtPs7ilKuqhbX
109,4ACqXsamYTIZXdv,qVFvnvp91d1ujIx
26,afo6xA5CcLJpyvt,LtQWZwDSWhjWLAX
154,vVTASVXtp8PaZIq,TBepENHAs7Bd3R5
155,rVZJRKIseHEUbWi,urovR6eNjAY7sdU
71,fVOlAtGejZUzf38,X10iKw2uonFvjf3
125,Sqm3efCo8m3LSYk,G5UMJMP40yehi1R
9,djr1Btnn0qepNpI,ebDRO71br5ZxQzV
140,cpbF1rw1snIODNR,BRgsvBSxM30HjzE
114,lzyv3z2hayRpGsl,VuJOSV462gFSC0k
126,jU3qFuLJeiKh9YK,SNAjazbBuLqHjqk
23,mTZPZmg2b5VjFUB,K9V0i0nNYqvhpTb
117,shcBPe18fW9jDjk,Qy5EDktuESPCkI0
27,ptJeMUTau7sBrL6,UnifXdq1L1WVHu7
64,qMMWvCKR1oQfeFM,yS35is4mfKHD5tJ
192,ufUjXyvFJBdUiHi,t3vniJwbLSME8o5
181,LwZNjKaXuRahWTC,sL3MBN8vsYzmIwT
97,RewjOLAacsCSSRB,8Qu3deCAVhNX4NM
148,EhxLoH2JVVjDQQc,4fFngg09TpXUGSQ
40,lu7MFqnrQ2Ty4hz,vKGmC7Kl3Q2Lyu4
29,uwBdNN63r6XS8Sk,M1TyiHDUXGksp1I
