Entier,val1,val2
6958,noxz2xmq7YCyOXc,S8WL3ZvvhgkK89G
1208,ltLhHMNQsjpubIU,nYuIflrXckRGtmj
6773,HdmfuJHu12X5sn6,O3O7Oh8hirM75IH
3690,X3QaBNmUhlZdwTU,cnJaG0deR0Wvrni
1676,emhxfjanjao9JUE,tj3RLBtLIQ2YAhs
921,0Wt1xHfNeTYAoib,rlihnT4F3No39nJ
1427,5XoWNuyckDVTEIV,IZ1ohzCjkGJWQud
5635,lb8dZXm0tOSorpJ,mM5sIDAErJxCO9F
8935,Jp5NcD9ImwkWCOJ,wuTOY0kw0ownfHC
9680,MspdPIWxYezmEDR,rlH9ENTTSJkoFcY
9838,pvSw4ngKuIBIVMW,ZAKBYo5MkFKszXR
7164,wEdwmoFgAsCtlL6,KlrdNYrNOXmMGy8
4293,UFL9h5RHUw3OTIN,fmURRd81Dtw9KcO
6655,DInlJvP1mNT0R6e,3K8jwP4s8d5silr
1952,aMhInHtyYLK6v8R,t40CgibqFgJqzUJ
363,j2Lu6M42nlzuEjP,neTYQcS9QQEdT8l
510,Q8dcC8xoNMOLAXq,5pC7KBlkiXTKCvZ
5646,4fivuyBoy6kDKIc,BeKYzBjRhLQToDG
7916,yIkuBOfZnydWWQH,GsTr1dDRuurIaqm
9266,X3cyShEu9IxyBO2,8CpssKbCv1RB34R
9832,XQDPqCVua07RvdM,BmNASMA87gPys1n
6642,mwvU1Im2theDpI8,a66xPsr3T7WOToe
1565,mZhEQRUpNcgFowW,gN0Vdrfba2X4lQE
704,dDmJoxxQwCMcdnl,dsrqqaLPfcejldh
1982,6QYhzbIwz0dsEVa,adDDv41dM8o1xGK
1645,o4bHgtyWRWvT46c,pFqa7reEb5igrq4
8419,9lDR0aBXlDPk8X7,xb6hqn8MwSrV19U
6241,zFj0myipdQuOBvq,aN74WmkrYUhuwjX
3845,3rFWj9CFj951qsm,rk23k6pZdMLyP3T
2279,4e7PMzIoEMPL0cl,seod0HJZH4lyWVC
9891,ZRe0HQAEdceU1bi,0zinU71rmICeMut
3652,PKh7404fgv3MUm7,bfapYBqjvRsNxqK
189,GdPzvBdLzdv5K0v,9scfqRV7arig7qM
6993,VHsnKWrXCQexwnu,2Rrejb1NJWtkFKP
9809,IIh6gdty32rNb7r,RMX2h4FcrWlSn5Z
668,BmsjoX8EvSt4jmA,ATIbMdA5sWFFF7O
3733,94DFAXKg56N2bHY,Hzk2BoUfvnDIup1
9283,dJcUoilU9S34byK,7UKdD1RpFPl1PRZ
1106,EsWVtEK7daQnGJd,6BFOI3DEHpFoOnB
3341,IMpDP54xroafoQq,37jI5g2ClFzrN1C
2875,nQhLTCKIcIgAsqB,RB8eW4Z9iFzc9wK
8035,zkt99CvdxjzZmVX,ewRUUmB5WZsdK9J
7269,1aKCxft1mG1js7i,Q5w8HuufK6DP7Z4
9584,tWk2pPfqoPZaEFQ,2yMvAnOfHIY6BzK
666,GMY0IAZJUdZGKcK,nUZqaV390XBlNTe
1642,AcJBG2yVohNcPwP,7GCDZrFuHBk8MmI
7053,bP6Re8hOz8R9zAI,MMp5J0CotDNlSP1
9688,Cyl3zJTIOpX5F6g,61QPGTco2EeX5Jv
5186,CMGAYj6yEhyRNA0,qsTUbSrVy5gSxFJ
9316,dUlq81UB5VxE8Oe,lxpTZziJsfp3Z8W
6829,cfTuX2eyCXRKgNN,0DynDCTTtNwT0d5
2978,epUyJNoy6brhNXT,DUu87jhORF7dS5L
5142,SyNChgq4CPOSMgH,Fogqw1t5ZzwSuOa
9643,P2Fv5QdAUY48MGm,lG6YJbiIn9lPJFu
2102,DuyRpqaYKQSaLsx,HYMfGbIkY6YB5ix
5106,fFZoIIVkOpEsmAg,4B4vGR7PZbTepO8
1050,N70nfIiaSLUXFDi,PtU3nherZTxWq4J
596,VX3ICGC8cs6b2dU,eeWshc5NMnzPVxf
9329,Yr106f7FypfDFvN,1RvDbX3EZJ3aFCj
8265,bgcsgpb3YfqkES4,JkiqHmjdi6u2be7
2846,86NPYrMq3n9WtsP,bLmOLOIsaf6dtHh
3715,bKuJ1FltsJMjjdr,yQA15tW489PXDQW
4393,OYktQKfNtxYVCb0,pzrMIxEuu3EfLJt
6266,mGChx5XWIqd48mJ,dDJuOvzLlmeAa5j
227,tPB6mmxlGsx42b7,8jpOTVRBxys4i33
2656,S3K0Q3pqz9DpfTs,KMf7yBXDIoERUnJ
2071,yyRh2Xw8Km3xm3U,6R8AeCmtFa9VynO
