Entier,val1,val2
3889,GUtDI8zT5xCo26A,N1bwN4tgiwntd9V
1754,R4MBckozi6WI7Tf,lBAnjo6pUC100mY
7705,dU1Rv2tRhaBWSEx,1BypFR2wHor1TTx
9957,YGBAxzqfWtQ2pqG,akQG8lx81RZO0eI
7270,lkJJZ3FG3TI3eOi,xRuMqDTIEiMTluf
6891,pW2SKU8xw2PaJqj,UZn0nQPr4j1rg75
9208,jc9FUCCDfLvHAq3,sbKr2ofw8Xflsjc
9536,W6rdEHMsjdyWdPV,cfTBDeP19WNFgrm
5104,jLYGEqne7ExshFb,7PyVG4lJurWWafZ
8992,tUqEzW6JYcuRist,Vrw9y8O5YFF7tAi
3279,rMYeptxgiH6W7zI,KnMjZtNX8wxyVBA
4563,AQmrVkomjfdjRXb,acJr1E1yV0zV5u6
5496,ZgdDaZNM3nj3hmi,ziY6ae74gCwaKMd
2435,HgB7dRmR1RJkcjQ,WfbHRX1Xs5IFiF4
1193,nCPYXn6FN9aZKjJ,gMWDoAMEKxoadyY
7204,tFycYJ4kqts8uxR,cnQNvNh1DjmZxT1
2652,qKEs0EL8kmmFvrc,K8UBOPvdTKl95Jk
7597,Yr6k8eNLcXo0q5E,i7TnOXEChZ2k4xQ
3803,Gl0TCROOrm2BQ4p,aTD551Xa5d9OFVK
539,6upYI4gGxrQyAgb,GxIEvEVPtY2TZY5
6314,p59e7SeQcmFt2Ll,0q7FDibeYD5Bmws
5352,Vs8zEgFNeOPsEsN,I5Vgsb67XBnrfkt
4569,DVMQxFCQK1qOndY,kZb19IkJOI70hq3
3814,r2TybLhhykcazl2,oQGuduIGiMqJyJH
4355,KDBTPNGbINt9Hud,Ea5HwF0VCfmIZjb
9981,9D5oExGBJkoZ0oB,9x4ACDN1jjiwffo
9229,z4F3UAqBoHUtGa9,JEAYQubYiFUNI31
6307,l3u5beklaZC2vLZ,IqRtZL5giJg9iUL
7686,DDaznfuyob33uJR,u77l3IROJZCh0Fm
339,Mmvn5M3T2oo2hHO,vv0D1dtOtAyOtla
1233,sXNih3KKqxlZFzv,3Q8r8n0xigmgbIT
5896,jybSQnStJYiASyZ,JJ6bLnkmk9jQTha
6335,QFPAkwGMJnDRqHe,onT3R00JXpgptcp
1381,aQafTRWawdaXkAh,yhAZMRkbdpbt7yI
9003,t8Rt9dYHkHv0IAq,cUNSJNJdStNCJBX
9797,5wYWrairjgT0QmN,m3VhDf8EUmjZHcm
6070,6CJysOV9ItOqKsd,YSM3xeW63QJMSOb
8034,GeBiSVcQdHpEHF6,lsWwh2qwdTf26cA
6523,3PQgcddgoZgjXv9,b2Xl3NH0Yv551e3
4909,hNfdVxeEJWiFgTg,blfZL3VIV8Dxbws
9692,SjzQg3QkKpkJwD2,G2X59klPtxXuOxo
6533,T3CqZd8aNZQjbYC,iZiXIpEjsCooNX5
3486,swi2LVacBgMfavN,gLwiIAjal5LsA1s
1114,Oesc5PzRMAUZPNx,gB849SqaYRz5IRd
1557,wkJKO2rfBNdEn8F,gxJoisArc7KEiu6
7701,FlNcRHXSMvqe4a5,WqLYpGzTmE3UW8M
2422,iuwAOCucpw2SCK8,li8k6AwF3Dq9U42
3521,IYcxuA4089a6QbQ,qlNKYmpUiSjm0yv
1147,QJKjS3lABWW4uSI,2zmsYESpmut9Ezj
4121,d359dqgziBdzvee,H1phgNdtjnq0Ta1
1842,3Ahy3yHlOQXsojv,DE1IUoYNmDbeOQR
8538,0rYQRpdqTZCRA6J,Pml98SMFbADBpp4
3565,ZUPgmhIGgmO4pD3,ynIbvPxFkbHU5mj
903,OjJKkqMVy5MxDZE,Dh87rf56B0ab22R
1652,LkFqWR0YcP2TnrK,XbwDO9izLmXaH7V
5632,5EXinS1fmnHxh3F,6Bw1NtS7pAUiRav
7352,9L8xePAlphH37ig,jnsK58iwfYYUndr
