Entier,val1,val2
4302,5XIGihHXUJlaud5,JTOiSVNv3aHUDT9
12594,ZtasQtRYzNjwuus,fnWOyvEevFxuEKC
4760,CBf2BWfJkZyUEiz,HG3XGl8UCc0qzOq
12246,re1y74sXaKV5Aq7,9NaZxF1Ijh21pG8
14437,fwO8c3JaPKJIGGF,01D0Op38KnPnC1P
5237,UCoSLFdeMY6zXle,ObNq7WFYNRffBIF
1266,dv2vi8WZDRzxyv5,OfHO9sdUFjqVbgZ
4975,4qdnKYF1WCkVygH,jaf2kRJboQaQKDi
9210,QMKJ5FEoflDz3xI,uCuGHFIyCENQzUx
12958,A2sXBelhjzVPpFb,cZitfnVduf7WLLu
14283,2LFLBiTofjmlVkA,aqsXE6rUO4OZ4aU
15856,aghpzpjcu9YN0ch,LMKNcRqJESZdaa5
9823,WsZ5Vidv550C5tW,snJGTUgh1NE0ySd
17022,wvtv5ATgkvdWp6R,fsLEeQ1nf5hlBN3
3546,Xlfpz2BJaXN9tCR,zDdvgmioimmKSrn
18400,HjjBqEhG8xPQ60D,HuLx7A714yEe8aI
8369,2AGvvL6I0VGSNBA,rTNqI3r1YyWp2jK
18580,0188pxBCy0jTFJl,Ta3PgDi5FZqgEPe
15495,BOJTKnOdkxiToZm,pxhQ3aOFBpJPlig
19481,ud6jYdStIbIYfsL,tbgPFGeTIvh2w3X
13160,vAXk5vS4ojxxGrH,juTCV2g7UxoYa5v
11342,JvMAKK6q7dlwbsi,EMq6FLUXneArTfN
18560,VfOXrtLNZ6RW5Ak,jpr8pSdQm6ZrYOq
13100,WpgTPOQr3BarRfx,v19wlPljrMqrR4P
14070,luruIPxAXFrXF9t,RAq9gPGgt6atGbq
696,LW4HxpIA62jUCkS,IRgcbwvKTwFdzbT
10876,DNPcTOGmGVlaCyt,F0Lc3X5AiPzVrWl
4168,JNUYl4cnBZKPbMe,5ujyiPk8ffeLMA4
7052,M3kObg9tZ88x4qb,Eloc951BmbSFNCC
14729,aCGSdAjKWqYOq5k,yonXytvxkwKCB6G
4385,7SgenodNibKxCtf,oFuqCemjNYay8kn
6325,BDPohNMruPezWMY,foZ4E13Lqk5dl30
8473,pl9122mUCrBLZ89,EgGP8dYDEzLeq69
14830,obmMQJV3MNbYKZI,aghLZJJrcZmqyJ1
2735,oqoMl7WFbkXCISm,IyrFl6ZP6de1eCl
17896,bbUR729j5W0V18n,OkHBlw5KntEAc7o
9689,tFDHW6s332Rz3K8,4EAzxigixBLn0ic
17789,9a0ZjQIlgOqzF0j,Ho6i7GoYPo3daGF
15945,XTIvU7y1Ob9vt6f,7qeeuvjPQ9xO140
3821,A0eAupmILXjyd7r,DTzHacU8yTqPzki
628,Ut2u91uMNCmcT8l,RUNFuVt5iUYeRqC
6174,2s2ljWFmOFO0b3a,43zisrBrQLq4XDJ
7305,di3YBMP2UKogpsj,ze66WUCuPzOYx37
19579,TsDOVaCDJzDGDT3,03jbsSUI0OmQpg8
14649,igrI4u8JrhKz4ao,q8bQO9dYmmaY73g
19324,X88YCGqvDZjJWk2,iaKX30uBEaEyUhI
17412,s9KhW3aKRt3bAWT,eyewnAzp1NfApFF
3515,brTOU8RV0gEhsyb,ZKO6noXXmK29FFY
10192,WcJUvTjL67vLyQt,j9lVTLaiIf5KLyO
10793,WRotVYDoVbmfth5,pzn80Al95LAEa18
18057,dgiLRY77fNy1mJo,RZ5cnEjXYL6tCA5
16869,Ot1RZapHV1rpVm1,HIiCgL3oUvTA5eU
10492,bwCIOZbEbPe5pOf,vr5963GQMGKMeq3
19112,palGBNfVxvXEr5V,fQP1ORXNE2RZh8F
17378,L5Z2L55bvVPWhY9,JdE2HAdjlsuTFkN
15535,fX8rGInGY0YdntP,SP0mx8fdbnMR0H1
797,BYIS8xRxzez0aQM,TGhA7ZEAl1nCvRn
