Nombre de colonnes,Méthode,Temps d'exécution,Coût
1000,Hash Join,0.642,176.18
1000,Merge Join,1.007,178.15
1000,Nested Loop,165.439,10876.62
100,Hash Join,0.104,176.18
100,Merge Join,0.177,178.15
100,Nested Loop,1.965,10876.62
10,Hash Join,0.042,176.18
10,Merge Join,0.055,178.15
10,Nested Loop,0.089,10876.62
20000,Hash Join,11.353,1412.96
20000,Merge Join,20.527,4072.47
20000,Nested Loop,42500.123,6000784.0
15000,Hash Join,8.535,1079.65
15000,Merge Join,14.975,3011.24
15000,Nested Loop,24338.668,2005036.1
25000,Hash Join,14.37,1766.17
25000,Merge Join,27.178,5170.78
25000,Nested Loop,66223.052,9375980.5
5000,Hash Join,2.929,6912.72
5000,Merge Join,4.963,3875.93
5000,Nested Loop,2787.577,562097.7
10000,Hash Join,5.848,24062.48
10000,Merge Join,9.96,12143.76
10000,Nested Loop,10880.361,2005036.1
