Nombre de colonnes,Méthode,Temps d'exécution,Coût
25000,Hash Join,19.517,1764.42
25000,Merge Join,34.236,5168.15
25000,Nested Loop,71583.218,9375980.5
10000,Hash Join,6.205,24062.48
10000,Merge Join,10.838,12143.76
10000,Nested Loop,11287.418,2005036.1
10,Hash Join,0.04,176.18
10,Merge Join,0.063,178.15
10,Nested Loop,0.08,10876.62
1000,Hash Join,0.616,176.18
1000,Merge Join,0.981,178.15
1000,Nested Loop,169.437,10876.62
15000,Hash Join,9.62,24062.48
15000,Merge Join,17.466,12143.76
15000,Nested Loop,25138.778,2005036.1
5000,Hash Join,3.258,6912.72
5000,Merge Join,5.345,3875.93
5000,Nested Loop,2927.873,562097.7
20000,Hash Join,13.904,1480.24
20000,Merge Join,25.079,4140.39
20000,Nested Loop,45529.394,4335782.5
100,Hash Join,0.104,176.18
100,Merge Join,0.132,178.15
100,Nested Loop,1.866,10876.62
