Nombre de colonnes,Méthode,Temps d'exécution,Coût
45000,Hash Join,16.98,3355.22
45000,Merge Join,36.54,9768.62
45000,Nested Loop,128288.442,30376796.5
20000,Hash Join,7.048,1437.31
20000,Merge Join,14.874,4071.5
20000,Nested Loop,25609.402,6000784.0
35000,Hash Join,13.071,2524.94
35000,Merge Join,27.721,7422.41
35000,Nested Loop,77218.937,18376371.5
10,Hash Join,0.055,176.18
10,Merge Join,0.064,178.15
10,Nested Loop,0.111,10876.62
60000,Hash Join,23.939,4045.03
60000,Merge Join,64.743,13308.61
60000,Nested Loop,343226.203,54002390.0
40000,Hash Join,15.351,2947.1
40000,Merge Join,32.758,8576.71
40000,Nested Loop,100929.025,24001568.0
15000,Hash Join,5.421,987.13
15000,Merge Join,10.514,2637.4
15000,Nested Loop,14957.057,2005036.1
5000,Hash Join,1.784,6912.72
5000,Merge Join,3.644,3875.93
5000,Nested Loop,1773.498,562097.7
10000,Hash Join,3.852,24062.48
10000,Merge Join,7.512,12143.76
10000,Nested Loop,6706.697,2005036.1
30000,Hash Join,11.508,2146.52
30000,Merge Join,22.943,6311.31
30000,Nested Loop,58961.084,13501203.0
25000,Hash Join,8.976,1765.86
25000,Merge Join,19.473,5170.31
25000,Nested Loop,40370.945,9375980.5
1000,Hash Join,0.395,176.18
1000,Merge Join,0.684,178.15
1000,Nested Loop,84.327,10876.62
100,Hash Join,0.07,176.18
100,Merge Join,0.096,178.15
100,Nested Loop,0.957,10876.62
70000,Hash Join,28.306,4680.33
70000,Merge Join,75.47,19650.79
70000,Nested Loop,465950.15,111792743.0
50000,Hash Join,18.856,3759.82
50000,Merge Join,51.716,10902.52
50000,Nested Loop,161007.583,37501959.0
100000,Hash Join,55.225,9851.04
100000,Merge Join,106.868,28640.7
100000,Nested Loop,955895.801,228203930.0
80000,Hash Join,33.562,6563.29
80000,Merge Join,83.519,22633.04
80000,Nested Loop,615984.574,146003134.0
90000,Hash Join,36.74,6079.0
90000,Merge Join,97.471,25663.62
90000,Nested Loop,779722.559,184863577.0
