Nombre de colonnes,Méthode,Temps d'exécution,Coût
1000,Hash Join,0.656,176.18
1000,Merge Join,0.985,178.15
1000,Nested Loop,174.104,10876.62
10,Hash Join,0.04,176.18
10,Merge Join,0.072,178.15
10,Nested Loop,0.075,10876.62
20000,Hash Join,11.942,1479.42
20000,Merge Join,23.339,4139.16
20000,Nested Loop,46711.386,4335782.5
100,Hash Join,0.1,176.18
100,Merge Join,0.131,178.15
100,Nested Loop,2.0,10876.62
25000,Hash Join,23.34,1798.11
25000,Merge Join,34.63,5171.81
25000,Nested Loop,70193.673,9375980.5
5000,Hash Join,3.081,6912.72
5000,Merge Join,5.273,3875.93
5000,Nested Loop,3018.931,562097.7
15000,Hash Join,10.025,24062.48
15000,Merge Join,17.715,12143.76
15000,Nested Loop,26165.198,2005036.1
10000,Hash Join,6.862,24062.48
10000,Merge Join,11.185,12143.76
10000,Nested Loop,11629.895,2005036.1
